participant.code;participant.label;payoff_beneficiary;id_group_beneficiary;payoff_dg;role_dg;send_proxy;group_sent;exclusion;inclusion;own_team;other_team;fair;fair_benef;fair_benef_own;fair_benef_other;rejected;happy;well_being;easy;comments;age;gender;edu;condition
7rmfq39x;5dd2d431181abc2ecde6edb4;1;15;5;1;;5;5;1;;;1;1;1;5;1;2;1;4;;65;Female;4 Years Degree;treatment
udfnb099;608c663a3dd376255ec5c687;10;14;3;2;5;3;2;4;;;4;3;3;3;4;6;6;4;;40;Female;4 Years Degree;treatment
ygfzg30p;60fd5d38eb4ec55d3ee98fda;18;15;5;1;;5;1;4;;;2;2;2;1;5;4;2;4;;27;Female;4 Years Degree;treatment
xy4mxg7a;60c20992212adb0a37fb5259;12;14;5;1;;5;2;4;;;3;4;3;4;4;8;8;4;No thanks;31;Male;4 Years Degree;treatment
e4bt9be9;576d8e821a48240001867c54;10;14;5;2;5;5;2;3;;;3;3;3;3;3;7;5;3;NONE;39;Female;Professional degree;treatment
5ebhneyg;616ca673bda04a2cc1da7d9a;2;15;5;2;5;5;5;1;;;1;1;1;4;2;1;0;4;;61;Female;Professional degree;treatment
tcketq0m;610c97198dcd3f17b180c2fc;20;16;5;1;;5;2;4;;;4;4;4;2;5;6;5;4;;31;Male;High school graduate;treatment
p2mg8o4b;607ee7232fb723e021ea8bd5;18;15;5;2;5;5;2;3;;;1;2;3;1;4;4;5;4;;36;Male;2 Years Degree;treatment
0gm6hepb;5ede8780fec54210bc8401e2;0;16;5;2;5;5;3;3;;;2;1;2;2;5;5;4;4;there was so much waiting;25;Female;Professional degree;treatment
qkti7m9m;60fcd99413d2d738147c7d55;20;16;5;1;;5;1;5;;;2;1;1;1;5;8;8;5;;18;Female;High school graduate;treatment
fbican34;5ee76c6d233cdb03e3989fb5;11;18;5;1;;5;3;3;;;3;3;3;3;3;5;5;4;;35;Female;High school graduate;treatment
cqvrdyk9;615dd3ba45b20ef16d14ff08;10;19;4;1;;6;3;2;;;4;4;3;4;4;7;3;3;;31;Male;Some College;treatment
05ep2b7y;60adc4fe4b8b4efe52487ca5;10;18;5;1;;5;1;5;;;5;4;4;5;4;9;7;5;;38;Male;4 Years Degree;treatment
tvscty0h;5b6ce228fdabd60001a6f49f;0;16;5;2;5;5;5;1;;;2;2;1;4;3;7;4;4;;35;Female;Professional degree;treatment
nql9efuf;6154cddc853e3d49574deb25;10;17;5;1;;5;1;4;;;4;3;4;4;4;5;5;5;;27;Male;High school graduate;treatment
7kuvamyb;595d3824fe4a4700017a0777;10;17;5;1;;5;1;5;;;5;5;5;5;5;10;10;4;;23;Male;High school graduate;treatment
qoedvcsh;5ec8c5587a32d23a17b5756f;10;17;5;2;5;5;1;5;;;5;5;5;3;4;10;10;5;;40;Male;2 Years Degree;treatment
3hq4vssc;60fe6346c108dff2e51d2db3;10;18;5;2;5;5;3;3;;;4;4;4;4;4;5;5;5;;18;Female;Some College;treatment
qu64htrc;5e846c7091a089000aa74054;8;18;5;2;5;5;1;3;;;3;3;3;3;3;5;8;5;not at all;24;Male;2 Years Degree;treatment
55boe5ia;5f49f482acc80f563e9650c8;10;17;5;2;5;5;1;5;;;5;3;3;3;5;6;5;5;;28;Male;Professional degree;treatment
4bj6ugts;5ca227b36b36c400013ce15a;10;19;5;1;;5;2;4;;;4;4;4;4;5;9;10;4;Nope but thanx for asking. It was fun;32;Male;4 Years Degree;treatment
2ddaawrd;5aa8ebf089de8200013f8c48;10;20;5;2;5;5;1;5;;;5;4;4;4;5;9;5;5;No;37;Male;High school graduate;treatment
b5vmh1en;5aeb26d4a7033800015e9129;8;19;5;1;;5;2;4;;;3;4;5;3;3;7;7;4;;25;Male;4 Years Degree;treatment
z0ct3tzw;5b0d0beed282ff00015b9972;12;19;5;2;5;5;2;4;;;4;4;3;4;4;5;5;4;n/a;39;Male;4 Years Degree;treatment
wk0cg956;5d93828b5b11ac0017eedc19;10;20;6;2;1;6;1;4;;;4;3;4;4;5;8;5;5;This was different than most other studies. I found it interesting.;37;Male;High school graduate;treatment
jtljgpst;616da8d2898bf561b8c61a05;10;20;5;1;;5;1;5;;;5;5;5;5;5;10;9;5;;28;Male;Professional degree;treatment
4d4ckeo3;5e487e8f22931f31be4a8d9c;10;20;5;2;5;5;1;4;;;4;4;3;4;4;7;7;4;;21;Male;Some College;treatment
qulzkqgu;60ff115a5ac69d2e624fb43e;10;27;8;1;;2;2;4;;;4;4;4;5;4;5;5;4;;18;Female;Some College;treatment
yhxkljeu;6100232fb364729c0a346457;18;21;5;1;;5;3;3;;;1;1;4;1;4;7;6;5;;20;Female;Some College;treatment
ovv7ikac;60fd743e9935bcfda7ed870a;1;21;8;1;;2;4;1;;;2;2;2;2;2;2;5;5;NO COMMENTS;24;Female;4 Years Degree;treatment
uknulupr;5d8ae8dd3749f50015c80ad9;8;22;6;1;;4;2;3;;;4;4;4;2;5;6;4;4;;31;Male;4 Years Degree;treatment
ubyeo39s;5a5cb9cd8e625900017611ec;10;22;4;2;4;4;1;5;;;5;4;5;5;5;8;9;5;nope;32;Male;2 Years Degree;treatment
4nlzrrwj;61002f666835203714619c62;18;21;5;2;5;5;2;5;;;4;3;4;1;4;7;8;4;;35;Female;4 Years Degree;treatment
4fcu4e62;5b6c874bbd7c4b00017ece51;2;21;2;2;3;2;5;1;;;1;4;4;1;1;0;3;3;;55;Female;Professional degree;treatment
5igtni27;60186b7c5524a20fcb8ececc;10;22;5;1;;5;2;4;;;4;4;2;4;4;5;5;4;It was an interesting study.;23;Female;Some College;treatment
wof3vye6;6140dd242bea7e18faa543d2;12;22;5;2;5;5;1;5;;;4;4;4;3;5;7;5;5;;23;Female;4 Years Degree;treatment
vuffq1b9;5f28a966b78f0220963ae1b8;12;24;5;1;;5;2;5;;;4;4;3;3;5;10;10;5;NO;47;Female;Doctorate;treatment
kf2rhhje;5fc4499b4672263cd12d920a;10;24;5;2;5;5;1;5;;;4;5;5;3;4;5;5;3;n/a;30;Female;High school graduate;treatment
pahoyboa;5b8d6aa74f3d5f0001ad90ef;10;23;5;1;;5;2;4;;;4;3;4;4;4;6;5;4;;29;Male;4 Years Degree;treatment
cr19v4bo;600693468a28b670ff44b1fc;10;23;5;1;;5;2;4;;;2;2;1;3;3;4;3;4;;23;Female;4 Years Degree;treatment
utqohndw;61462cd6e81b9536e3b4b1bb;11;23;5;2;4;5;2;3;;;3;3;4;3;2;6;5;2;;37;Male;4 Years Degree;treatment
xgqc49m0;5f4357fe16548e595f470904;10;24;6;1;;4;1;5;;;5;4;4;4;5;9;9;4;FUN AND INTERESTING;32;Female;Some College;treatment
q5d5tafy;5b9b1de4d2599000010fb247;8;23;5;2;5;5;4;2;;;3;3;2;5;2;7;5;5;;36;Male;4 Years Degree;treatment
j56iowec;5f8503d89e097f1e6f48bd2f;8;24;2;2;5;2;4;2;;;2;2;3;4;2;6;4;4;;29;Other;Some College;treatment
34r6z6k6;5f2ad302c9c61e3d4ad59366;10;25;5;1;;5;1;5;;;5;4;4;4;4;7;7;4;"There was a spelling mistake of ""Group"" - I think it was in Stage 2. I'm also curious if there were real people or fake people I was playing with";23;Female;4 Years Degree;treatment
650ce443;6103644f849ab81a0fce020b;10;25;5;1;;5;1;5;;;5;3;3;3;5;8;7;4;;20;Male;4 Years Degree;treatment
qesi0w7x;610cd640d64519087a993982;10;25;5;1;;5;1;5;;;4;4;4;4;5;9;8;4;;24;Female;4 Years Degree;treatment
y0l7sbwj;60ffcba4730586b1982c5bf5;10;25;5;2;4;5;1;5;;;4;4;4;4;4;8;7;4;;19;Female;Some College;treatment
gsaituad;5ec87daedce2260008f5c0d3;18;26;5;2;2;5;2;4;;;2;2;2;1;5;6;5;4;No, although I wish that I had the instructions of the survey up while I was answering the comprehension questions. ;21;Female;Some College;treatment
kiqbb6lc;60f4805a4aee8d0beafdb04a;2;26;5;2;5;5;5;1;;;1;1;1;2;1;5;2;3;;39;Female;Doctorate;treatment
7r23k9je;602d9642b88b07836e951d58;8;27;4;2;4;4;3;2;;;4;3;4;5;3;5;4;4;one of the coolest studies I've done on prolific;25;Female;4 Years Degree;treatment
dhwb7kz4;5be883a1ee424500017fbb77;18;26;5;1;;5;1;4;;;2;2;4;1;5;7;6;5;No.;41;Female;Some College;treatment
wmx89n7a;5f9261c7e1a8d117eadb3ba9;2;26;5;2;0;5;4;1;;;2;2;2;4;2;3;3;4;;22;Female;Some College;treatment
1om4cd2z;60dc77a0684f892da794c91e;12;27;4;1;;6;2;4;;;4;3;3;3;5;9;9;4;;52;Female;Some College;treatment
j5jm03aj;60fcceb940903b65a649c821;10;27;6;2;5;6;4;2;;;2;2;2;4;3;4;4;4;;23;Female;4 Years Degree;treatment
akg4i47u;610dd0563ed315ba68e3f323;0;28;10;1;;0;5;1;;;1;2;1;4;1;0;1;5;No;19;Female;Some College;treatment
x6f3s2d7;600b8be069d46b241b7951da;0;28;5;1;;5;5;1;;;1;1;1;5;1;5;5;5;;21;Male;Some College;treatment
petzfxs2;60f1be056031dc809de77e50;10;29;5;1;;5;2;4;;;5;4;5;5;4;9;5;3;Really interesting study!;26;Female;Professional degree;treatment
aemdvyr8;5fc97909520cd94a49b6b870;20;28;0;2;5;0;1;5;;;1;1;5;1;5;8;6;4;;40;Male;4 Years Degree;treatment
g2ckczii;5ee9e12423e2ad000ba4fe15;10;30;5;2;5;5;1;5;;;5;1;3;3;5;8;5;5;;21;Male;Some College;treatment
3op2g6gt;5f9503492c2f0e3659637ac7;10;30;5;1;;5;1;5;;;1;4;4;4;4;10;7;4;;25;Male;4 Years Degree;treatment
lfpmr1do;5d4686c336bf400015d3fd14;8;31;6;1;;4;4;2;;;2;3;3;3;2;5;2;4;None, thank you for letting me participate;31;Female;Some College;treatment
bmdsfo3c;606226520b95abbc59802c10;10;29;5;2;5;5;1;5;;;5;5;5;5;5;9;8;4;Feeling positive, I'm really glad that everybody worked evenly in the team effort :) Didn't seem to matter who was on which team.;24;Female;4 Years Degree;treatment
ks4m19o2;615ddac5a91d6818e673083e;10;30;5;1;;5;2;4;;;5;4;4;4;4;8;8;4;;36;Female;4 Years Degree;treatment
92d9rbhq;5acaf4b1e1546900019c388c;10;29;5;2;5;5;2;5;;;5;4;4;4;5;7;5;5;;34;Female;2 Years Degree;treatment
fyprl87p;5c0e87aa6f519c0001764e4e;10;29;5;1;;5;2;4;;;4;4;4;4;4;6;5;4;;33;Female;Professional degree;treatment
9y806rp2;5ea1a9b5e876fe07b737367b;12;31;5;1;;5;2;4;;;3;3;4;4;5;7;5;3;;62;Female;2 Years Degree;treatment
ebg1r25y;5f6e72f4f0d70a3c02af4ee6;10;31;5;2;5;5;2;4;;;4;3;3;3;4;5;4;4;Forgot how many rounds there were so someone got less than they should of in the 2nd round. Sorry.;43;Female;High school graduate;treatment
b5vzastm;61083ab06ba64c8eb9f9649e;10;32;5;2;5;5;2;4;;;4;4;4;4;5;8;8;4;;31;Female;Some College;treatment
vsgz9pjj;5c98310742270c0014d0287a;10;30;5;2;5;5;3;3;;;4;4;4;4;5;6;5;3;;19;Male;High school graduate;treatment
eiuf5ln3;5c93073250e4fb0001f7907b;10;32;5;1;;5;2;3;;;4;4;4;4;3;8;5;2;;39;Female;4 Years Degree;treatment
g70g2n35;5fc653586deb34268015308a;10;31;4;2;5;4;1;4;;;4;3;4;4;4;6;4;3;;40;I do not want to report my gender;2 Years Degree;treatment
j7nid21s;5d316c4442c2170018e10574;12;32;5;2;5;5;2;4;;;4;3;3;2;4;8;6;4;;41;Male;4 Years Degree;treatment
w8c0f308;60fefb08e9544b4dc1f315e6;8;32;5;2;5;5;4;2;;;1;2;2;2;1;0;0;4;;22;Female;2 Years Degree;treatment
m2aomf7v;614e1c517b3fae0527e3f00c;8;34;5;1;;5;3;3;;;4;3;3;3;4;9;5;4;;60;Female;4 Years Degree;treatment
unvbz621;5b83093a3c137500019982b6;6;33;4;1;;6;4;2;;;2;1;1;1;4;6;5;5;;33;Male;Less than high school;treatment
glhcchtf;602e763eef81ce9e57528e1e;14;39;5;1;;5;2;4;;;4;4;4;4;2;7;5;4;No;48;Female;Some College;treatment
wogdqvsm;603e816bc71a1cebe7d54b6b;14;33;5;1;;5;2;4;;;1;1;1;1;4;5;3;4;;23;Male;High school graduate;treatment
hxauuns0;613e1fe8294a9b1170446af3;8;33;5;1;;5;3;4;;;3;4;3;3;3;6;5;3;very interesting;58;Male;2 Years Degree;treatment
rkwe9vdj;5bf769ac2dd20c00013188d1;12;34;5;2;5;5;1;5;;;4;4;4;3;5;10;5;5;No;29;Male;2 Years Degree;treatment
d0m6rgk0;60775a00311af97b81b2197c;12;33;6;2;5;6;1;5;;;5;4;4;4;4;8;7;5;no;19;Male;2 Years Degree;treatment
9rw71hiy;60ee3448b283de513fbbfa83;10;34;5;2;5;5;3;4;;;2;4;2;3;3;5;7;4;;27;Male;Professional degree;treatment
3155eiw2;611b1bfb1851f94dbadd5542;10;34;7;1;;3;3;4;;;4;5;4;3;2;7;7;3;really interesting survey;21;Male;2 Years Degree;treatment
3iei6yjt;5671131573f58b0005664333;0;35;5;1;;5;5;5;;;1;1;1;1;1;5;5;4;;32;Male;Professional degree;treatment
nuo7jpmv;60242bdb4097360ad464addc;18;37;10;1;;0;2;3;;;3;2;3;1;4;8;6;4;None;34;Male;Professional degree;treatment
z0tprqfx;5dec22fa26ff0231cee0f007;20;35;5;2;5;5;3;3;;;1;1;2;1;5;5;6;5;none;27;Male;4 Years Degree;treatment
3rlllbx9;5fdee6e9fd62fb6a79d254a2;0;35;3;2;5;3;4;2;;;2;2;2;2;1;3;3;3;;19;Male;Some College;treatment
xq99900i;5f32a496a026e809d7d55cbd;20;35;5;2;5;5;1;4;;;1;2;4;1;4;7;5;3;;41;Male;4 Years Degree;treatment
p4nrswo9;5caa534a19731a00190bb935;16;38;5;1;;5;3;3;;;5;5;4;2;5;5;5;5;none;54;Male;High school graduate;treatment
nepydeam;5a6032228e625900017657f4;2;37;9;1;;1;5;1;;;1;1;1;1;1;0;5;3;obviously they only picked their own team the entire time..;29;Male;4 Years Degree;treatment
tcnwdha6;614f253f9cb4943cc553e686;18;37;0;2;5;0;1;3;;;1;1;2;1;4;7;3;4;;26;Male;Doctorate;treatment
c981id7v;60d432ce6e413e7509dd4b78;4;38;5;2;5;5;2;4;;;4;4;2;4;4;7;5;4;I enjoyed the study! Seeing the decisions of other people during stage B and C was very interesting to think about.;19;Male;High school graduate;treatment
5n653lvg;5fe6b759e6b281515e6bc3bb;4;38;5;1;;5;5;1;;;2;2;1;3;2;2;3;2;would prefer some feedback during the second stage. spent ~5 minutes waiting on other players without updates. ;24;Male;Some College;treatment
zyuf3opx;60f48b5c7100ebc59353127e;8;39;5;1;;5;4;2;;;2;2;1;2;2;3;4;3;The time noted in Prolific was 14 mins but starting the study, it said it would take about 30 mins!;26;Male;4 Years Degree;treatment
50xnap10;5df3c34082a95529ff6681ce;16;38;5;2;7;5;1;5;;;1;1;2;1;5;10;7;5;Aside from the delays from some of the players, it went pretty well.;29;Male;Doctorate;treatment
eza3nwu1;5f4812ec633ed22a79267800;2;37;1;2;9;1;4;2;;;3;3;2;3;2;5;5;4;;31;Male;4 Years Degree;treatment
4c78mush;5c8734f40ae44f000139a737;11;39;5;2;1;5;3;3;;;3;3;3;3;3;5;5;3;;35;Male;Some College;treatment
cqxpvihu;617162c5ec8af8ce4171014e;6;39;5;2;0;5;3;3;;;3;3;3;3;3;5;5;3;;42;Male;Some College;treatment
z6zcjdgd;607cbba672f2dfbe97062589;20;40;0;1;;10;2;4;;;3;3;3;3;3;10;6;5;;26;Male;Professional degree;treatment
jz3t9xym;61651ceebb3e76fc5e9d3b34;0;40;5;1;;5;5;1;;;1;3;1;5;1;3;2;5;;20;Female;Some College;treatment
hksddjif;61169f2b224fed6bd42b07f8;18;40;10;2;5;10;1;5;;;1;2;2;2;5;10;10;5;None;25;Male;4 Years Degree;treatment
0v9e8b6u;5cb5320ae585bc001773bd20;2;40;5;2;5;5;5;1;;;2;2;1;2;1;3;4;5;;23;Male;4 Years Degree;treatment
t6l24s0h;5c241ff070d93a00012057af;0;41;5;1;;5;5;1;;;1;1;1;3;4;8;5;3;;34;Male;Some College;treatment
vtuq5p76;5efebc57a352be3d0dff46a7;20;41;5;2;5;5;1;5;;;1;1;1;1;5;7;7;5;;19;Male;High school graduate;treatment
0cdgl8h0;5f42d7f515c23f500bd34d57;0;41;10;1;;0;4;2;;;3;3;3;3;3;5;5;4;;35;Male;4 Years Degree;treatment
tpqsrg92;5ea0ccb1b3b90d0c18acbf0c;20;42;5;1;;5;1;4;;;3;3;4;1;5;5;5;3;;45;Female;Doctorate;treatment
0fmx67tx;5ee1cf1e0df8e55c6b9e1f1a;20;41;0;2;0;0;1;5;;;5;5;5;2;5;10;7;5;;24;Female;Professional degree;treatment
o2q8jr81;5dd5d4c89ca8a3590739700f;0;42;5;1;;5;4;2;;;2;2;2;4;1;5;3;4;;61;Female;Some College;treatment
tzeknly5;5ff5e2f383b7580cd594c95a;20;42;5;2;5;5;1;4;;;1;1;3;1;5;9;5;3;;22;Female;4 Years Degree;treatment
q2qgk7os;61003e2c597feda3779db930;0;42;5;2;0;5;5;1;;;1;1;1;5;1;0;0;3;;24;Female;4 Years Degree;treatment
hs0cebmn;5e1e0cc5928d3e17322489b6;12;43;5;1;;5;3;4;;;2;2;3;2;3;8;8;5;Interesting!;26;Male;Some College;treatment
kjhojwyc;5e8373aeae0b520a84b991c7;10;44;5;1;;5;5;4;;;3;3;4;2;2;7;5;3;Interesting survey but long;60;Female;Professional degree;treatment
2qysdmnx;608c21dcfbaea78d4285c25a;8;43;5;1;;5;2;4;;;2;4;3;4;2;7;4;4;It was a lot of fun! Love to try something like this again.;53;Female;4 Years Degree;treatment
5mcsrc1o;6008793f0294554adc85c346;12;43;5;2;4;5;2;3;;;4;3;4;4;4;7;5;3;;49;Female;Professional degree;treatment
b8oqreyo;6101f712de0992a4af203535;8;43;5;2;5;5;2;3;;;4;2;2;5;3;4;4;5;;19;Female;High school graduate;treatment
p4i2hq8z;5e729d3fb05a370b2ca0a981;10;44;5;1;;5;2;4;;;4;5;4;4;5;10;10;4;This was fun!;60;Female;High school graduate;treatment
5ur4mcg4;611ca0c82718b8a369c86953;10;46;5;2;5;5;2;4;;;4;4;4;4;5;7;8;4;This study was interesting;21;Male;Less than high school;treatment
jmq9m6ga;60c9340f020245a242499735;10;44;5;1;;5;1;5;;;5;4;3;3;5;8;8;4;;31;Male;Professional degree;treatment
ou4r01a5;6089ccf43f43e48ba34f3d61;10;45;5;1;;5;1;5;;;5;4;4;4;4;9;5;5;;29;Male;4 Years Degree;treatment
y9cygo25;5dd6329b8062875cbb664f2d;10;45;5;1;;5;1;5;;;5;5;5;5;5;10;10;5;;54;Female;High school graduate;treatment
chq9z44n;6110ad1904857a95e340579e;10;46;7;1;;3;4;2;;;4;3;4;3;3;4;3;4;THANKS;25;Female;Professional degree;treatment
hivif07b;5ef87f91d8ef24028d6da70c;10;45;5;2;5;5;1;5;;;5;5;5;5;5;3;5;4;The distorted text portion was not the most friendly thing for a vision impaired person.;53;Female;4 Years Degree;treatment
7fczvtmv;5ec87a461f24ee18ff19b899;10;46;5;2;6;5;2;4;;;5;5;4;4;5;10;8;4;;34;Male;Professional degree;treatment
tgm8x3oy;613077a3869b17cf46e931ea;10;44;5;2;5;5;2;4;;;4;4;4;4;5;5;5;4;;32;Female;4 Years Degree;treatment
tiris4dl;5ea93131b2e5310009e185e6;10;46;3;2;5;3;3;3;;;5;2;2;2;4;5;5;5;;25;Female;4 Years Degree;treatment
5e840e3y;60dfb9fab3abd82f581f3181;10;45;5;2;5;5;3;4;;;4;3;4;4;4;8;7;3;This was a bit confusing at first, but very interesting.;23;Female;Professional degree;treatment
zcutrjfu;60397356158dc44bb261d1ea;6;47;8;1;;2;2;3;;;4;3;4;3;2;6;3;2;It was a time consuming;24;Female;4 Years Degree;treatment
3n9jzm05;5ebc3097a9c38504ebd8a347;16;47;2;2;5;2;1;5;;;4;4;4;1;5;0;1;2;You need to time limit the assignment in stage 2.  It took far too long for some to respond.;38;Male;4 Years Degree;treatment
4h6nhzhr;60ede9d2318a73b73b4a2227;14;47;5;2;1;5;3;3;;;3;3;3;3;3;5;5;3;;44;Female;4 Years Degree;treatment
vnsr0ilf;5ca2ac6b9e110f00011248b3;10;48;5;1;;5;1;5;;;5;5;5;5;5;7;7;5;;27;Female;4 Years Degree;treatment
xghvyo1m;610068e5f60debf1dafc444d;10;48;5;1;;5;1;5;;;3;2;3;3;5;1;5;4;;21;Female;High school graduate;treatment
