participant.code;participant.label;payoff_beneficiary;id_group_beneficiary;payoff_dg;role_dg;send_proxy;group_sent;exclusion;inclusion;own_team;other_team;fair;fair_benef;fair_benef_own;fair_benef_other;rejected;happy;well_being;easy;comments;age;gender;edu;condition
zphsa2rt;5e33837fa617e535a5be85a7;12;19;5;2;8;5;2;3;;;4;4;;;5;6;5;3;;33;Female;Professional degree;control
c172k5kk;5eb5fc1f998c504f09656ba8;10;20;5;2;4;5;3;3;;;5;5;;;3;7;5;4;;23;Female;2 Years Degree;control
sq72vvym;610164f46b97cc39fd1d9a45;10;20;5;2;3;5;4;2;;;3;3;;;2;5;4;4;;20;Female;Some College;control
tgijg5ml;5e3afde82f2188000aa8e7c9;10;20;5;1;;5;1;5;;;4;4;;;5;5;5;5;;31;Other;Less than high school;control
xp2ef9f9;5e11fc3a76f45086a608f9bd;10;27;5;2;4;5;4;2;;;2;3;;;2;6;4;4;I don't know what those captchas were about.;42;Female;4 Years Degree;control
mq1ozds9;614b831d7edb7798f13d2509;18;21;5;1;;5;2;4;;;3;3;;;4;6;6;4;I am confused but I had fun;25;Male;Some College;control
162eaf0z;5e9ccdb28e7d581f1b4960de;2;21;5;1;;5;5;1;;;1;2;;;2;5;5;4;honestly dont really understand the purpose of these studies.  like the captcha part was normal, but the whole random you get they get round 2 part ....like what's the point?;42;Male;High school graduate;control
ye85pab9;60ac9b8ff8de9f4bdb4dc479;8;22;5;1;;5;4;2;;;4;4;;;2;7;5;4;Nope;33;Male;2 Years Degree;control
nilkzghe;610085d607a6461fceaec758;10;22;4;2;4;4;2;4;;;4;4;;;4;7;6;4;Last stage was cheeky :);18;Female;Some College;control
zkb9d4nr;5a78f57a2a842c0001fc43db;18;21;5;1;;5;1;4;;;2;2;;;5;5;5;3;;24;Female;Some College;control
58f22sq3;6108958e38de9bdc11f444c7;2;21;5;2;10;5;4;2;;;2;2;;;2;5;3;2;no;54;Female;4 Years Degree;control
9w3g9w86;60fe1c304865ae1ed8685dcb;10;22;5;2;3;5;2;4;;;4;4;;;4;5;5;4;No;21;Female;High school graduate;control
1ohwzif5;61317e73d02a20f7faba04ef;12;22;4;2;5;4;3;4;;;4;4;;;4;7;5;4;;19;Female;2 Years Degree;control
w0dpbusd;5f50500950ebb81cfa392427;12;24;5;1;;5;2;5;;;4;5;;;5;8;8;5;;23;Female;4 Years Degree;control
xw1jmxqd;5efd4b214f972918f9f4b827;10;24;5;1;;5;2;4;;;3;3;;;5;5;5;4;no;37;Female;Professional degree;control
u2breqye;606b197a43dfda2edcd80803;10;23;5;2;2;5;3;3;;;4;3;;;4;7;3;4;;27;Male;4 Years Degree;control
lfa4w1er;6111122d4d0fad272b805eba;10;24;5;2;4;5;2;4;;;4;4;;;3;6;7;4;Thank you!;22;Female;2 Years Degree;control
wzpq0c90;5aae3c75fb22320001baa633;8;24;5;2;5;5;3;3;;;2;2;;;4;8;5;4;;24;Male;4 Years Degree;control
qwsxxm9c;5c630bf6787ee80001ffb964;10;25;5;1;;5;2;4;;;4;4;;;5;8;5;4;None;65;Female;4 Years Degree;control
vso4a1cp;6112b77d1b334bdbef0a4e1b;10;25;10;1;;0;2;4;;;5;5;;;4;8;10;4;THank you!;22;Female;4 Years Degree;control
r0s4n8xe;6141658172d1ff08d9a59612;10;25;5;2;10;5;1;5;;;5;5;;;5;2;5;5;;22;Female;Some College;control
vycp1fw7;5f35ea51f0cfd606d35d01e5;10;25;5;2;5;5;1;5;;;5;5;;;4;8;7;3;I thought it was going to take about 4 minutes to do the captcha stage 1 not that I only had 4 minutes to complete it I saw that timer and was like man I have to sit upright to get this done in time. Felt like the time limit in one of the old engineering tests I did back in the mid 2000s. Was like stressed to get it done. LOL. Fun and I was like better go 50/50 on stage 3 like I could take all the coin but somehow felt I would be screwing myself or another if not 50/50 like stage 2. Fun. ;36;Male;4 Years Degree;control
h8y297az;614e16143f7ba19d39637115;18;26;5;2;4;5;3;4;;;2;2;;;3;7;5;4;The Study was well presented and easy to understand and follow ;34;Male;2 Years Degree;control
4p3e6627;60fdd0fcfe014bad15ad089a;2;26;9;1;;1;5;2;;;2;2;;;2;4;1;4;;22;Female;4 Years Degree;control
nswjtljq;60fefe76788cef38c86957ae;8;27;10;1;;0;5;1;;;1;1;;;2;2;0;3;;30;Female;Doctorate;control
0ch10biv;61646440e23df0a1ad5c5036;18;26;5;1;;5;2;4;;;2;2;;;5;8;6;3;Interesting;30;Female;2 Years Degree;control
8xdayk9b;5d1684b485233900157040d6;2;26;1;2;5;1;5;1;;;1;1;;;2;2;3;4;;26;Female;4 Years Degree;control
5rnupb9d;5c5b87c0a7ca950001f5ae12;12;27;5;1;;5;2;4;;;5;4;;;4;8;5;3;It was a very interesting study.;23;Female;Some College;control
gfjj9slh;614e47c32e9f0efffde844ee;0;28;0;2;10;0;3;1;;;3;3;;;5;8;5;5;;41;Male;4 Years Degree;control
u77re0ia;5daa8d3be80fe30015e71d32;10;29;9;1;;1;4;2;;;3;3;;;3;5;6;3;;25;Female;Professional degree;control
j61dm3jk;5c8575d4bb45d10016c9265e;20;28;5;1;;5;1;5;;;1;1;;;3;5;5;4;the second stage was skewed towards play 2 and player 4 (me) ;29;Female;Some College;control
yx82qsvm;5c429ca9204d6700012f65f5;10;30;5;1;;5;3;3;;;4;3;;;4;5;5;4;;26;Male;4 Years Degree;control
g52w1l0s;610309cb6693b9f1ae07b5f6;10;30;5;2;3;5;2;4;;;4;4;;;4;6;5;5;;21;Female;Some College;control
j0js0ubc;612bcf083b3f3e49dfbc5fd0;8;31;5;1;;5;2;4;;;3;3;;;4;5;8;4;;18;Female;Some College;control
w18jurar;6107088428de1480e9588e38;10;29;5;2;5;5;1;5;;;4;3;;;4;9;6;5;;33;Female;2 Years Degree;control
kyu6w40w;5e6473fbc15dbe1f71eea95b;10;30;5;1;;5;4;1;;;3;3;;;1;0;5;4;none, best of luck in your research!;40;Female;4 Years Degree;control
fn8ul49z;60174d7db1babe9ad10e9c63;10;29;5;2;5;5;2;2;;;4;4;;;3;5;4;4;NA;21;Male;Some College;control
ow2ya42d;5e5b1f34634c7231001c549f;12;31;5;2;5;5;2;4;;;2;2;;;5;5;5;4;Thank you!;21;Male;Some College;control
2gzdobk4;5f525487e51b924db405f6a5;10;31;9;1;;1;1;5;;;4;4;;;4;7;8;3;;48;Female;Professional degree;control
o7bxr0pb;5f356a45273930520ded9451;10;32;5;1;;5;5;1;;;4;4;;;2;3;3;3;NA;31;Male;4 Years Degree;control
du22e9bq;5a127fc7c259f30001766641;10;30;10;1;;0;2;4;;;4;4;;;5;7;5;5;no;41;Male;4 Years Degree;control
10rl6m4z;5dec6a96da522335df62a1b5;10;32;5;2;0;5;4;2;;;3;3;;;5;5;5;4;;29;Male;4 Years Degree;control
9jav52g6;5b8845cd2fd5c7000101c463;10;31;5;2;5;5;2;4;;;4;4;;;4;6;6;4;;21;Female;Some College;control
b1dlc3gm;61458a700c1c7e5863d36430;12;32;5;2;1;5;3;3;;;2;2;;;2;4;5;5;;23;Female;Some College;control
xiquof6n;5f435707c9ed765971b13443;8;32;7;1;;3;3;4;;;2;2;;;2;4;4;4;;19;Male;Some College;control
yytxyj0v;6053fa19a8ec1c1580fabe2b;8;34;0;2;5;0;4;2;;;2;2;;;2;4;5;4;;21;Female;4 Years Degree;control
39nlxszt;6108d9e45c65a1a0bc60c13c;6;33;5;2;5;5;4;3;;;2;4;;;2;4;4;3;;18;Female;Some College;control
jgix38na;61280902667000b761f45570;14;39;5;1;;5;1;5;;;4;4;;;4;9;8;5;;22;Female;Some College;control
je0k7cef;60ca9b46986f81ab8f603a76;14;33;5;1;;5;2;4;;;4;4;;;5;8;8;3;;67;Female;Some College;control
6zozdn3g;5e68691662358c10f5adb901;8;33;5;1;;5;3;3;;;2;2;;;4;3;5;3;;38;Male;4 Years Degree;control
joefu5dh;60ffef81dfdb4a31c8b546cc;12;34;3;2;5;3;2;4;;;4;4;;;3;6;5;4;;56;Female;4 Years Degree;control
xks5hbae;5b662445d6505f0001919e5c;12;33;5;2;5;5;1;4;;;3;3;;;4;5;5;5;;37;Male;High school graduate;control
s62rgp1r;5ffd32803ca0be20d25e7ed3;10;34;7;1;;3;1;4;;;4;4;;;4;8;8;4;Different and interesting, stay safe.;40;Female;2 Years Degree;control
31yvxtwl;5d0fc2558cf933001663c77b;0;35;6;1;;4;4;2;;;2;3;;;1;8;5;5;;38;Female;Some College;control
zcfh0lmg;60fe2fed581d95673bd181af;18;37;5;2;4;5;4;2;;;1;2;;;1;5;7;2;;19;Female;High school graduate;control
3woluxih;5e29ada5d441690127fb5748;20;35;7;1;;3;2;3;;;3;4;;;4;7;7;3;NO;46;Female;4 Years Degree;control
o2h349jx;60fdca1a87839971dfef0270;0;35;5;1;;5;5;1;;;1;4;;;1;3;3;4;;23;Female;Professional degree;control
5hxj63qt;5fcdc6932df9dfcdf32fa3df;20;35;1;2;5;1;1;5;;;1;1;;;3;7;6;5;none;29;Male;4 Years Degree;control
n4oxomva;600ce60e21d8ec241417d3a4;16;38;5;1;;5;1;5;;;2;3;;;4;8;8;5;;26;Female;4 Years Degree;control
3qxajk3t;59102d52f601090001e80b82;2;37;3;2;0;3;5;1;;;1;3;;;2;1;3;5;None.;24;Male;High school graduate;control
xezbjoxo;6153477de7f5a1ba93fc4f75;18;37;5;2;4;5;4;2;;;3;4;;;2;3;4;2;;23;Female;4 Years Degree;control
fmdfpewy;6118ad8ee236d50188f3cd1b;4;38;4;2;5;4;5;2;;;1;3;;;2;3;3;5;<none>;45;Male;Some College;control
tfdu8rqr;5b6e92eaea3c210001a0fa78;4;38;0;2;5;0;5;2;;;1;2;;;2;5;4;5;I wonder if the other players and outcomes were truly chosen randomly;26;Male;Some College;control
4p3qpkun;5cbe1b872edc3b00158aaf12;8;39;7;1;;3;3;3;;;2;3;;;4;5;4;3;n/a;27;Male;Professional degree;control
5xnix5rn;5da64c3721d74a0016dfce74;16;38;5;1;;5;3;3;;;2;2;;;4;5;5;4;;31;Male;Some College;control
dgn5fw8d;61141391b248527d53b5799c;2;37;5;2;5;5;5;2;;;1;1;;;2;1;3;4;N/A;23;Female;4 Years Degree;control
ptsin3c9;615214b3f55c941b4aac4273;12;39;5;1;;5;2;3;;;2;4;;;3;8;7;4;;20;Female;High school graduate;control
coxdharu;5dceca79b988870144a19f89;6;39;5;2;5;5;3;3;;;2;3;;;2;3;3;4;;53;Female;Professional degree;control
5ojemalu;60feeaff1dc2175994046b7c;20;40;3;2;5;3;1;4;;;2;2;;;4;7;9;4;;22;Female;4 Years Degree;control
lmosqic6;61086cf33a1349376781f20e;0;40;5;2;2;5;5;1;;;5;1;;;1;8;0;3;;19;Other;Some College;control
xe2akxs4;60ff9bdb708894398cb6fbf7;18;40;5;2;5;5;2;5;;;4;4;;;3;3;8;5;none!;23;Female;Some College;control
qmo4l03f;5b180cd1db971600013d34cc;2;40;3;2;5;3;2;2;;;1;1;;;1;4;4;5;;36;Female;4 Years Degree;control
n57dpq9r;60fdcc94fa6446ae6be6ddfe;0;41;6;1;;4;4;3;;;2;2;;;2;1;0;2;I tried very hard in Stage one and was hugely disappointed  by the end of the survery;57;Female;4 Years Degree;control
m51d0bn2;5df2f7674f849e20d6666704;20;41;4;2;5;4;5;1;;;3;3;;;2;5;5;3;;69;Male;High school graduate;control
air6sp0b;5b3ae9ab1d4b680001695f8d;0;41;5;1;;5;5;1;;;1;1;;;1;0;0;4;None;31;Male;4 Years Degree;control
w2k3jof6;5dcca09d0a290092fb15449d;20;41;5;2;2;5;1;5;;;1;1;;;3;6;5;4;;27;Male;Some College;control
lx7r74t1;5623f187ed6e5a0011c81083;0;42;9;1;;1;5;1;;;1;1;;;1;2;3;4;;36;Male;4 Years Degree;control
l5gy3vzp;5d0f644b5643a6000103cd24;20;42;5;1;;5;1;5;;;1;1;;;4;10;9;5;No ;20;Male;High school graduate;control
tuqa258z;615ce995f7827a42b1432be3;0;42;2;1;;8;4;3;;;1;2;;;1;5;5;4;;24;Male;4 Years Degree;control
vv00aeku;5e0d08e94f849e4a8cba7acd;10;44;1;2;3;1;2;4;;;3;4;;;4;7;5;5;;25;Male;4 Years Degree;control
ip3617d6;5eaaa3dd401ccb01e69eadc8;8;43;8;2;0;8;4;2;;;2;2;;;2;4;2;5;;40;Male;4 Years Degree;control
v3fyuvzv;60a2cbab9a74ddb09789cfa8;12;43;5;2;5;5;2;4;;;4;4;;;3;7;6;5;;39;Male;2 Years Degree;control
zeytfh4x;60bd185bc08594fac51a7909;8;43;1;2;10;1;3;3;;;3;3;;;3;5;5;3;;36;Male;4 Years Degree;control
jm3n718h;600edb0946cf807f2c08cf95;10;44;9;1;;1;2;4;;;3;3;;;4;6;5;5;;29;Male;4 Years Degree;control
ijeakiid;56a744ee5ad8d9000c970b07;10;46;5;1;;5;2;4;;;5;4;;;4;7;7;5;none;57;Male;High school graduate;control
o6mbov7i;5ed6ad6d923c090fbbe04b2a;10;44;1;2;5;1;1;5;;;5;5;;;4;9;5;5;;42;Male;High school graduate;control
ei2m8vik;5fbdc4f0784d3f225d8d96d1;10;45;5;1;;5;1;4;;;5;5;;;4;6;6;5;;26;Male;Doctorate;control
ux1sh4hj;610024e959ce4d541092bf1d;10;45;5;1;;5;3;3;;;5;3;;;5;5;5;5;;33;Male;4 Years Degree;control
6t5twq8f;5f56e1d1b72358165158550d;10;45;5;2;5;5;3;3;;;3;3;;;3;6;5;3;NO;42;Male;Doctorate;control
r1pgfiky;606ce98ff96ae58d9b36e847;10;46;5;2;0;5;2;2;;;4;4;;;5;5;5;3;;34;Male;Doctorate;control
1gsbcfgj;602f0ae20a29c4bca6e1ee7d;10;44;10;1;;0;3;3;;;4;4;;;4;3;5;5;no;31;Male;4 Years Degree;control
pjv6lrmp;5cb5ff63931852001cf69b28;10;46;5;2;0;5;2;4;;;5;5;;;5;10;7;4;;39;Male;4 Years Degree;control
4a9ro4wk;614e951047173bf040153e8e;10;45;5;1;;5;3;3;;;4;4;;;5;7;5;4;;40;Male;Professional degree;control
zmlxb6lv;60837036efbfa301ef4ac192;6;47;10;1;;0;5;1;;;4;5;;;2;5;3;5;Confusing to me what exactly the point was, but I suppose that is unimportant;23;Male;Some College;control
ke2q8rkp;5edc203396a7278dd3c731ed;16;47;0;2;0;0;1;5;;;3;3;;;4;9;5;4;;64;Male;2 Years Degree;control
1cxjy2xm;5c10809ec3871300012bef87;14;47;0;2;5;0;4;2;;;2;2;;;4;6;8;4;;33;Male;Professional degree;control
0pb8yjw5;60245170efd32a12e9b699bc;10;48;5;1;;5;4;2;;;4;5;;;5;5;5;5;What was the point of the study?;23;Male;Some College;control
f2w2lqw9;5cb7d2f8f0e73600180b9555;10;48;5;2;5;5;2;3;;;5;5;;;4;8;5;4;;33;Male;Some College;control
cldl28q3;61079572f96c850f028957ca;10;48;5;1;;5;4;2;;;4;4;;;3;5;6;4;None;21;Male;4 Years Degree;control
x4smqul7;58afadc49f78e200018fa48d;10;49;5;1;;5;4;3;;;3;4;;;3;5;6;3;;38;Male;4 Years Degree;control
0314jjpi;5edbaae1b9f9f68349ce80f3;10;48;5;2;5;5;1;5;;;5;5;;;5;10;5;5;;28;Male;Professional degree;control
47yih0fz;613ea88e7cba1e666c555841;10;49;8;1;;2;2;4;;;4;5;;;4;9;9;4;;30;Male;4 Years Degree;control
cvxkizhf;5da57d17349a480019dc0b69;10;49;5;1;;5;3;4;;;4;4;;;5;5;5;4;None;26;Male;4 Years Degree;control
oi8id9hx;5f31c7c8152f590f64c8e902;8;50;8;1;;2;5;1;;;2;2;;;2;8;7;4;;29;Male;Professional degree;control
k0r7yrdn;6139348ebc57a7de25346990;14;50;5;1;;5;3;3;;;3;4;;;5;5;5;5;;18;Male;High school graduate;control
7onqk6m5;6151f70bf945f8ed4230d867;4;51;5;2;0;5;2;4;;;4;5;;;5;8;5;3;;63;Male;4 Years Degree;control
gs6hizjl;5f44c445cfb0a801244f652f;6;50;5;2;0;5;4;2;;;1;2;;;3;5;4;5;THANKS;28;Male;4 Years Degree;control
n40saas8;5d9f4d5f3cac2b0016c79242;14;53;5;2;5;5;1;5;;;3;4;;;4;8;10;5;;27;Male;2 Years Degree;control
l4w23q5j;61760b30f2c7886886924db1;18;51;2;2;5;2;2;4;;;3;3;;;5;7;5;5;N/A;26;Male;4 Years Degree;control
ssypx6p3;5f349bb8c0c95c21dda77b3c;4;51;5;2;10;5;4;1;;;4;2;;;2;2;3;5;Nope;28;Male;Professional degree;control
jm8idn5z;5ec63a2ce7e4bf000a0df40c;14;51;5;1;;5;2;4;;;2;2;;;3;5;6;4;No;20;Male;Professional degree;control
q5won80l;5a6fec42ff6f2300013ee471;12;52;2;2;3;2;2;4;;;5;5;;;3;8;8;5;No, I do not.;38;Male;Professional degree;control
9ackz7ap;6111119b601cb98e28289a46;8;52;10;1;;0;4;2;;;3;2;;;2;2;2;3;;59;Male;4 Years Degree;control
jnlr8sdr;5ce5e6c19c40b2001b3a031f;14;52;5;2;5;5;2;4;;;4;4;;;4;9;6;4;;57;Male;High school graduate;control
8p8u7p1z;60baaa995c09d3162511871d;6;52;10;1;;0;4;1;;;3;3;;;2;5;10;5;;36;I do not want to report my gender;2 Years Degree;control
2rvvqspw;610e25f9f9818357aca7dc5f;8;53;0;2;5;0;4;1;;;2;2;;;2;4;4;4;;37;Male;Professional degree;control
a6pl43vx;5b4ccf677f4f6a0001a021f8;12;54;0;2;3;0;2;4;;;4;4;;;4;6;5;4;;28;Male;4 Years Degree;control
